name,team,opponent_team,date,was_home,minutes,goals_conceded,expected_goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,starts,selected,form,xG&A_form,minutes_per_game,clean_sheet_probability,saves_per_game,last_season_clean_sheet_probability,last_season_total_saves,last_season_expected_goals_conceded,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Jason Steele,Brighton,Luton,2023-08-12,True,90,1,1.45,2,0,2,0,0,0.0,1,490913,2.0,0,90.0,0.0,2.0,0.4,37,23.46,3.0,Brighton,False,Wolverhampton,,-0.52
Jason Steele,Brighton,Wolverhampton,2023-08-19,False,90,1,2.06,4,0,3,0,0,0.0,1,511977,2.5,0,90.0,0.0,3.0,0.4,37,23.46,0.0,Brighton,True,West Ham,,0.49
Jason Steele,Brighton,West Ham,,True,0,0,0.0,0,0,0,0,0,,0,487732,1.67,0,60.0,0.0,3.0,0.4,37,23.46,0.0,Brighton,True,Newcastle United,,0.55
Jason Steele,Brighton,Newcastle United,,True,0,0,0.0,0,0,0,0,0,,0,429654,1.25,0,45.0,0.0,3.0,0.4,37,23.46,3.0,Brighton,False,Manchester United,,-0.63
Jason Steele,Brighton,Manchester United,2023-09-16,False,90,1,0.96,3,0,3,0,0,0.0,1,360137,1.6,0,54.0,0.0,3.0,0.4,37,23.46,0.0,Brighton,True,Bournemouth,,1.22
Jason Steele,Brighton,Bournemouth,,True,0,0,0.0,0,0,0,0,0,,0,361877,1.2,0,45.0,0.0,3.0,0.4,37,23.46,0.0,Brighton,False,Aston Villa,,0.29
Jason Steele,Brighton,Aston Villa,2023-09-30,False,90,6,1.58,4,0,0,0,0,0.0,1,323119,0.6,0,51.43,0.0,3.25,0.4,37,23.46,0.0,Brighton,True,Liverpool,,0.18
Jason Steele,Brighton,Liverpool,,True,0,0,0.0,0,0,0,0,0,,0,287721,0.6,0,45.0,0.0,3.25,0.4,37,23.46,2.0,Brighton,False,Manchester City,,-1.32
Jason Steele,Brighton,Manchester City,2023-10-21,False,90,2,0.75,3,0,2,0,0,0.0,1,267375,1.0,0,50.0,0.0,3.2,0.4,37,23.46,3.0,Brighton,True,Fulham,,-0.13
Jason Steele,Brighton,Fulham,2023-10-29,True,90,1,0.71,4,0,3,0,0,0.0,1,263634,1.0,0,54.0,0.0,3.33,0.4,37,23.46,0.0,Brighton,False,Everton,,-0.24
Jason Steele,Brighton,Everton,,False,0,0,0.0,0,0,0,0,0,,0,268256,1.0,0,49.09,0.0,3.33,0.4,37,23.46,2.0,Brighton,True,Sheffield,,0.68
Jason Steele,Brighton,Sheffield,2023-11-12,True,90,1,1.32,1,0,2,0,0,0.0,1,259410,1.4,0,52.5,0.0,3.0,0.4,37,23.46,0.0,Brighton,False,Nottingham Forest,,-0.55
Jason Steele,Brighton,Nottingham Forest,,False,0,0,0.0,0,0,0,0,0,,0,255825,1.4,0,48.46,0.0,3.0,0.4,37,23.46,1.0,Brighton,False,Chelsea,,-0.85
Jason Steele,Brighton,Chelsea,2023-12-03,False,90,3,1.93,2,0,1,0,0,0.0,1,242014,1.2,0,51.43,0.0,2.88,0.4,37,23.46,2.0,Brighton,True,Brentford,,0.79
Jason Steele,Brighton,Brentford,2023-12-06,True,90,1,1.33,0,0,2,0,0,0.0,1,237137,1.0,0,54.0,0.0,2.56,0.4,37,23.46,0.0,Brighton,True,Burnley,,0.39
Jason Steele,Brighton,Burnley,,True,0,0,0.0,0,0,0,0,0,,0,246907,1.0,0,50.62,0.0,2.56,0.4,37,23.46,0.0,Brighton,False,Arsenal,,-0.48
Jason Steele,Brighton,Arsenal,,False,0,0,0.0,0,0,0,0,0,,0,228806,0.6,0,47.65,0.0,2.56,0.4,37,23.46,0.0,Brighton,False,Crystal Palace,,0.38
Jason Steele,Brighton,Crystal Palace,,False,0,0,0.0,0,0,0,0,0,,0,219540,0.6,0,45.0,0.0,2.56,0.4,37,23.46,1.0,Brighton,True,Tottenham,,0.69
Jason Steele,Brighton,Tottenham,2023-12-28,True,90,2,2.48,1,0,1,0,0,0.0,1,212407,0.6,0,47.37,0.0,2.4,0.4,37,23.46,8.0,Brighton,False,West Ham,,-0.22
Jason Steele,Brighton,West Ham,2024-01-02,False,90,0,0.68,2,0,8,2,1,0.0,1,206496,1.8,0,49.5,0.09,2.36,0.4,37,23.46,10.0,Brighton,True,Wolverhampton,,0.05
Jason Steele,Brighton,Wolverhampton,2024-01-22,True,90,0,1.38,3,0,10,3,1,0.0,1,211891,3.8,0,51.43,0.17,2.42,0.4,37,23.46,1.0,Brighton,False,Luton,,
Jason Steele,Brighton,Luton,2024-01-30,False,90,4,2.89,4,0,1,0,0,0.0,1,232482,4.0,0,53.18,0.15,2.54,0.4,37,23.46,0.0,Brighton,True,Crystal Palace,,0.88
Jason Steele,Brighton,Crystal Palace,,True,0,0,0.0,0,0,0,0,0,,0,233019,4.0,0,50.87,0.15,2.54,0.4,37,23.46,2.0,Brighton,False,Tottenham,,-0.36
Jason Steele,Brighton,Tottenham,2024-02-10,False,90,2,1.6,4,0,2,0,0,0.0,1,225427,4.2,0,52.5,0.14,2.64,0.4,37,23.46,0.0,Brighton,False,Sheffield,,-0.61
Jason Steele,Brighton,Sheffield,,False,0,0,0.0,0,0,0,0,0,,0,239671,2.6,0,50.4,0.14,2.64,0.4,37,23.46,0.0,Brighton,True,Everton,,0.53
Jason Steele,Brighton,Everton,,True,0,0,0.0,0,0,0,0,0,,0,233444,0.6,0,48.46,0.14,2.64,0.4,37,23.46,1.0,Brighton,False,Fulham,,0.86
Jason Steele,Brighton,Fulham,2024-03-02,False,90,3,1.24,2,0,1,0,0,0.0,1,226920,0.6,0,50.0,0.13,2.6,0.4,37,23.46,0.0,Brighton,True,Nottingham Forest,,1.55
Jason Steele,Brighton,Nottingham Forest,,True,0,0,0.0,0,0,0,0,0,,0,220401,0.6,0,48.21,0.13,2.6,0.4,37,23.46,0.0,Brighton,False,Liverpool,,-1.01
Jason Steele,Brighton,Liverpool,,False,0,0,0.0,0,0,0,0,0,,0,212821,0.2,0,46.55,0.13,2.6,0.4,37,23.46,0.0,Brighton,False,Brentford,,-0.53
Jason Steele,Brighton,Brentford,,False,0,0,0.0,0,0,0,0,0,,0,208916,0.2,0,45.0,0.13,2.6,0.4,37,23.46,0.0,Brighton,True,Arsenal,,-0.11
Jason Steele,Brighton,Arsenal,,True,0,0,0.0,0,0,0,0,0,,0,205268,0.2,0,43.55,0.13,2.6,0.4,37,23.46,0.0,Brighton,False,Burnley,,0.0
Jason Steele,Brighton,Burnley,,False,0,0,0.0,0,0,0,0,0,,0,202686,0.0,0,42.19,0.13,2.6,0.4,37,23.46,0.0,Brighton,True,Manchester City,,-0.96
Jason Steele,Brighton,Manchester City,2024-04-25,True,90,4,1.3,2,0,0,0,0,0.0,1,195962,0.0,0,43.64,0.12,2.56,0.4,37,23.46,0.0,Brighton,False,Bournemouth,,0.19
Jason Steele,Brighton,Bournemouth,,False,0,0,0.0,0,0,0,0,0,,0,196475,0.0,0,42.35,0.12,2.56,0.4,37,23.46,0.0,Brighton,True,Aston Villa,,0.64
Jason Steele,Brighton,Aston Villa,,True,0,0,0.0,0,0,0,0,0,,0,194502,0.0,0,41.14,0.12,2.56,0.4,37,23.46,0.0,Brighton,False,Newcastle United,,-0.41
Jason Steele,Brighton,Newcastle United,,False,0,0,0.0,0,0,0,0,0,,0,191834,0.0,0,40.0,0.12,2.56,0.4,37,23.46,0.0,Brighton,True,Chelsea,,-0.25
Jason Steele,Brighton,Chelsea,,True,0,0,0.0,0,0,0,0,0,,0,191834,0.0,0,38.92,0.12,2.56,0.4,37,23.46,1.0,Brighton,True,Manchester United,,0.38
Jason Steele,Brighton,Manchester United,2024-05-19,True,90,2,1.2,2,0,1,0,0,0.0,1,188453,0.2,0,40.26,0.12,2.53,0.4,37,23.46,7.0,Brighton,False,Everton,,-0.24
