name,team,opponent_team,date,was_home,minutes,goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,form,xG&A_form,minutes_per_game,clean_sheet_probability,saves_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Pierluigi Gollini,Spurs,Manchester City,,True,0,0,0,0,0,0,0,,0.0,0,0.0,0,0,0.0,Spurs,False,Wolverhampton,,
Pierluigi Gollini,Spurs,Wolverhampton,,False,0,0,0,0,0,0,0,,0.0,0,0.0,0,0,0.0,Spurs,True,Watford,,
Pierluigi Gollini,Spurs,Watford,,True,0,0,0,0,0,0,0,,0.0,0,0.0,0,0,0.0,Spurs,False,Crystal Palace,,
Pierluigi Gollini,Spurs,Crystal Palace,,False,0,0,0,0,0,0,0,,0.0,0,0.0,0,0,0.0,Spurs,True,Chelsea,,
Pierluigi Gollini,Spurs,Chelsea,,True,0,0,0,0,0,0,0,,0.0,0,0.0,0,0,0.0,Spurs,False,Arsenal,,
Pierluigi Gollini,Spurs,Arsenal,,False,0,0,0,0,0,0,0,,0.0,0,0.0,0,0,0.0,Spurs,True,Aston Villa,,
Pierluigi Gollini,Spurs,Aston Villa,,True,0,0,0,0,0,0,0,,0.0,0,0.0,0,0,0.0,Spurs,False,Newcastle United,,
Pierluigi Gollini,Spurs,Newcastle United,,False,0,0,0,0,0,0,0,,0.0,0,0.0,0,0,0.0,Spurs,False,West Ham,,
Pierluigi Gollini,Spurs,West Ham,,False,0,0,0,0,0,0,0,,0.0,0,0.0,0,0,0.0,Spurs,True,Manchester United,,
Pierluigi Gollini,Spurs,Manchester United,,True,0,0,0,0,0,0,0,,0.0,0,0.0,0,0,0.0,Spurs,False,Everton,,
Pierluigi Gollini,Spurs,Everton,,False,0,0,0,0,0,0,0,,0.0,0,0.0,0,0,0.0,Spurs,True,Leicester City,,
Pierluigi Gollini,Spurs,Leicester City,,True,0,0,0,0,0,0,0,,0.0,0,0.0,0,0,0.0,Spurs,True,Brentford,,
Pierluigi Gollini,Spurs,Brentford,,True,0,0,0,0,0,0,0,,0.0,0,0.0,0,0,0.0,Spurs,True,Norwich,,
Pierluigi Gollini,Spurs,Norwich,,True,0,0,0,0,0,0,0,,0.0,0,0.0,0,0,0.0,Spurs,True,Liverpool,,
Pierluigi Gollini,Spurs,Liverpool,,True,0,0,0,0,0,0,0,,0.0,0,0.0,0,0,0.0,Spurs,True,Crystal Palace,,
Pierluigi Gollini,Spurs,Crystal Palace,,True,0,0,0,0,0,0,0,,0.0,0,0.0,0,0,0.0,Spurs,False,Southampton,,
Pierluigi Gollini,Spurs,Southampton,2021-12-28,False,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,Spurs,False,Watford,,
Pierluigi Gollini,Spurs,Watford,,False,0,0,0,0,0,0,0,,0.0,0,0.0,0,0,0.0,Spurs,False,Leeds United,,
Pierluigi Gollini,Spurs,Leeds United,,False,0,0,0,0,0,0,0,,0.0,0,0.0,0,0,0.0,Spurs,False,Chelsea,,
Pierluigi Gollini,Spurs,Chelsea,,False,0,0,0,0,0,0,0,,0.0,0,0.0,0,0,0.0,Spurs,True,Southampton,,
Pierluigi Gollini,Spurs,Southampton,,True,0,0,0,0,0,0,0,,0.0,0,0.0,0,0,0.0,Spurs,True,Wolverhampton,,
Pierluigi Gollini,Spurs,Wolverhampton,,True,0,0,0,0,0,0,0,,0.0,0,0.0,0,0,0.0,Spurs,False,Manchester City,,
Pierluigi Gollini,Spurs,Manchester City,,False,0,0,0,0,0,0,0,,0.0,0,0.0,0,0,0.0,Spurs,False,Burnley,,
Pierluigi Gollini,Spurs,Burnley,,False,0,0,0,0,0,0,0,,0.0,0,0.0,0,0,0.0,Spurs,False,Leicester City,,
Pierluigi Gollini,Spurs,Leicester City,,False,0,0,0,0,0,0,0,,0.0,0,0.0,0,0,0.0,Spurs,True,Everton,,
Pierluigi Gollini,Spurs,Everton,,True,0,0,0,0,0,0,0,,0.0,0,0.0,0,0,0.0,Spurs,False,Manchester United,,
Pierluigi Gollini,Spurs,Manchester United,,False,0,0,0,0,0,0,0,,0.0,0,0.0,0,0,0.0,Spurs,False,Brighton,,
Pierluigi Gollini,Spurs,Brighton,,False,0,0,0,0,0,0,0,,0.0,0,0.0,0,0,0.0,Spurs,True,West Ham,,
Pierluigi Gollini,Spurs,West Ham,,True,0,0,0,0,0,0,0,,0.0,0,0.0,0,0,0.0,Spurs,True,Newcastle United,,
Pierluigi Gollini,Spurs,Newcastle United,,True,0,0,0,0,0,0,0,,0.0,0,0.0,0,0,0.0,Spurs,False,Aston Villa,,
Pierluigi Gollini,Spurs,Aston Villa,,False,0,0,0,0,0,0,0,,0.0,0,0.0,0,0,0.0,Spurs,True,Brighton,,
Pierluigi Gollini,Spurs,Brighton,2022-04-16,True,0,0,0,0,0,0,0,0.09,0.0,0,0.0,0,0,0.0,Spurs,False,Brentford,,
Pierluigi Gollini,Spurs,Brentford,2022-04-23,False,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,Spurs,True,Leeds United,,
Pierluigi Gollini,Spurs,Leeds United,,True,0,0,0,0,0,0,0,,0.0,0,0.0,0,0,0.0,Spurs,False,Liverpool,,
Pierluigi Gollini,Spurs,Liverpool,,False,0,0,0,0,0,0,0,,0.0,0,0.0,0,0,0.0,Spurs,True,Arsenal,,
Pierluigi Gollini,Spurs,Arsenal,,True,0,0,0,0,0,0,0,,0.0,0,0.0,0,0,0.0,Spurs,True,Burnley,,
Pierluigi Gollini,Spurs,Burnley,2022-05-15,True,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,Spurs,False,Norwich,,
Pierluigi Gollini,Spurs,Norwich,2022-05-22,False,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,,Liverpool,False,,,
